Role,Company,Company URL,Salary,Location,Application Link,Type,Email,Date Created,idx,job_description,Job_Description
Software Engineer,Mary Technology,https://www.marytechnology.com/,$100K - $180K (on experience/level),"Sydney, NSW; REMOTE.",Please e-mail or Slack message Daniel Lord-Doyle.,,dan@marytechnology.com,4/21/2024,5,,"Here is a job description for a Software Engineer at Mary Technology:

**Job Title:** Software Engineer

**Company:** Mary Technology

**Salary:** $100,000 - $180,000 per annum (dependent on experience and level)

**Location:** Sydney, NSW (REMOTE options available)

**Job Summary:**

We are seeking an exceptional Software Engineer to join our innovative team at Mary Technology. As a Software Engineer, you will play a key role in designing, developing, and maintaining cutting-edge software solutions that drive business growth and excellence. You will have the opportunity to work on complex projects, collaborate with cross-functional teams, and contribute to the development of new products and features.

**Responsibilities:**

* Design, develop, test, and deploy high-quality software applications using various programming languages and technologies
* Collaborate with product managers, designers, and other engineers to identify and prioritize project requirements
* Write clean, efficient, and well-documented code that meets industry standards
* Participate in code reviews, ensure adherence to coding standards, and contribute to the improvement of the overall codebase
* Troubleshoot and debug software issues, identifying and resolving problems in a timely and efficient manner
* Stay up-to-date with industry trends, best practices, and emerging technologies, applying this knowledge to continuously improve our software solutions
* Collaborate with QA engineers to ensure software meets quality and reliability standards
* Work closely with DevOps teams to ensure seamless deployment and integration of software applications

**Requirements:**

**Experience:**

* 5+ years of experience in software development, with a focus on backend, frontend, or full-stack development
* 2+ years of experience with cloud-based technologies (AWS, Azure, Google Cloud)

**Skills:**

* Proficiency in one or more programming languages, such as Java, Python, JavaScript, or C++
* Experience with Agile development methodologies and version control systems (Git, SVN)
* Strong understanding of software design patterns, principles, and best practices
* Experience with containerization (Docker) and orchestration (Kubernetes)
* Knowledge of database management systems, including relational and NoSQL databases
* Strong problem-solving skills, with the ability to debug and troubleshoot complex issues
* Excellent communication and collaboration skills, with experience working in a team environment
* Bachelor's or Master's degree in Computer Science, Engineering, or a related field

**Nice to Have:**

* Experience with cloud-native applications, serverless architecture, and event-driven design
* Knowledge of DevOps practices, including continuous integration and continuous deployment (CI/CD)
* Familiarity with machine learning, artificial intelligence, or data analytics
* Experience with modern front-end frameworks, such as React, Angular, or Vue.js

**What We Offer:**

* Competitive salary package ($100,000 - $180,000 per annum, dependent on experience and level)
* Flexible work arrangements, including remote work options
* Opportunities for professional growth and career development
* Collaborative and dynamic work environment
* Access to cutting-edge technologies and tools
* Recognition and reward programs

If you're a motivated and talented Software Engineer looking for a new challenge, please submit your application, including your resume and a cover letter outlining your experience and skills. We can't wait to hear from you!"
Machine Learning Engineer,H2O.ai,https://www.linkedin.com/company/h2oai?trk=public_jobs_topcard-org-name,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-at-h2o-ai-3787732675?trk=public_jobs_topcard-title,Full-time,,4/21/2024,6,,"Here is a job description for a Machine Learning Engineer at H2O.ai in Sydney, Australia:

**Job Title:** Machine Learning Engineer
**Company:** H2O.ai
**Location:** Sydney, New South Wales, Australia
**Salary Range:** Competitive salary package (to be discussed during the interview process)

**About H2O.ai:**

H2O.ai is a leading artificial intelligence and machine learning company, providing innovative solutions to transform businesses worldwide. Our mission is to democratize AI for everyone, and we're looking for talented individuals to join our team in Sydney, Australia.

**Job Description:**

We're seeking an exceptional Machine Learning Engineer to join our team in Sydney. As a Machine Learning Engineer at H2O.ai, you will be responsible for designing, developing, and deploying machine learning models that drive business value for our clients. You will work closely with cross-functional teams, including data scientists, engineers, and product managers to develop and deliver AI-powered solutions.

**Responsibilities:**

* Design, develop, and deploy machine learning models to solve complex business problems
* Collaborate with data scientists to develop and refine machine learning models
* Work with engineering teams to integrate machine learning models into production systems
* Develop and maintain large-scale data processing pipelines
* Optimize and improve the performance of machine learning models
* Work with stakeholders to understand business requirements and develop solutions to meet those requirements
* Stay up-to-date with the latest developments in machine learning and apply this knowledge to improve our solutions

**Requirements:**

* 3+ years of experience in machine learning engineering or a related field
* Bachelor's or Master's degree in Computer Science, Electrical Engineering, or a related field
* Strong knowledge of machine learning algorithms and techniques, including supervised and unsupervised learning, deep learning, and reinforcement learning
* Proficiency in programming languages such as Python, Java, or C++
* Experience with machine learning frameworks such as TensorFlow, PyTorch, or Scikit-learn
* Experience with big data platforms such as Hadoop, Spark, or NoSQL databases
* Strong understanding of data structures, algorithms, and software design patterns
* Excellent problem-solving skills, with the ability to work independently and collaboratively
* Strong communication skills, with the ability to explain complex technical concepts to non-technical stakeholders

**Nice to Have:**

* Experience with cloud platforms such as AWS, Azure, or Google Cloud
* Knowledge of containerization using Docker and orchestration using Kubernetes
* Familiarity with Agile development methodologies
* Certification in machine learning or a related field

**What We Offer:**

* Competitive salary package
* Opportunities for career growth and professional development
* Collaborative and dynamic work environment
* Flexible working hours and remote work options
* Access to cutting-edge technologies and tools
* Recognition and rewards for outstanding performance

If you're passionate about machine learning and want to join a team of innovators, please submit your application, including your resume and a cover letter, to [insert contact information]. We can't wait to hear from you!"
Senior Machine Learning Engineer,Neara,https://au.linkedin.com/company/neara?trk=public_jobs_topcard-org-name,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/senior-machine-learning-engineer-at-neara-3749865976?trk=public_jobs_topcard-title,Full-time,,4/21/2024,7,,"Here is a job description for a Senior Machine Learning Engineer at Neara:

**Job Title:** Senior Machine Learning Engineer

**Company:** Neara

**Location:** Sydney, New South Wales, Australia

**Salary Range:** Competitive salary package (negotiable based on experience)

**Job Summary:**

We are seeking an experienced Senior Machine Learning Engineer to join our innovative team at Neara in Sydney. As a Senior Machine Learning Engineer, you will be responsible for designing, developing, and deploying machine learning models that drive business value. You will work closely with our data scientists, engineers, and product teams to develop and implement scalable, efficient, and accurate machine learning solutions. If you have a passion for machine learning, are skilled in multiple programming languages, and have a track record of delivering high-quality solutions, we want to hear from you!

**Responsibilities:**

* Design, develop, and deploy machine learning models that meet business requirements
* Collaborate with data scientists to develop and improve machine learning models
* Work with cross-functional teams to integrate machine learning models into larger systems
* Develop and maintain scalable, efficient, and accurate machine learning solutions
* Stay up-to-date with industry trends and advancements in machine learning
* Mentor junior engineers and provide technical guidance
* Develop and maintain technical documentation

**Requirements:**

* 5+ years of experience in machine learning engineering or a related field
* Bachelor's or Master's degree in Computer Science, Electrical Engineering, or a related field
* Strong programming skills in languages such as Python, Java, or C++
* Experience with machine learning frameworks such as TensorFlow, PyTorch, or Scikit-Learn
* In-depth knowledge of machine learning algorithms, including supervised and unsupervised learning, neural networks, and deep learning
* Experience with cloud-based technologies such as AWS, GCP, or Azure
* Strong understanding of data structures, algorithms, and software design patterns
* Excellent problem-solving skills, with the ability to work independently and collaboratively
* Strong communication and documentation skills

**Nice to Have:**

* Experience with containerization using Docker and Kubernetes
* Knowledge of Agile development methodologies
* Experience with continuous integration and continuous deployment (CI/CD) pipelines
* Familiarity with agile project management tools such as Jira or Asana

**What We Offer:**

* Competitive salary package
* Opportunities for professional growth and development
* Collaborative and dynamic work environment
* Flexible working arrangements
* Access to cutting-edge technologies and tools
* Recognition and rewards for outstanding performance

If you're passionate about machine learning and are looking for a challenging and rewarding role, apply now to join our team at Neara!"
Senior Machine Learning Engineer - Editing AI,Canva,https://www.canva.com,- ,"Sydney, New South Wales, Australia",https://www.linkedin.com/jobs/view/3765111184/?alternateChannel=search&refId=nOj7CaKdW1eiFtr3NWNbZQ%3D%3D&trackingId=5zHmw%2FO4be6a7ID6cGnLKA%3D%3D,Full-time,,4/21/2024,8,,"Here is a job description for the Senior Machine Learning Engineer role at Canva:

**Job Title:** Senior Machine Learning Engineer - Editing AI

**Company:** Canva

**Location:** Sydney, New South Wales, Australia

**Salary Range:** Competitive salary package (TBD)

**Job Summary:**

We're seeking an exceptional Senior Machine Learning Engineer to join our innovative Editing AI team at Canva. As a Senior Machine Learning Engineer, you will lead the development of cutting-edge AI-powered editing features that revolutionize the way users create stunning visual content. You'll work closely with our cross-functional teams to design, implement, and deploy machine learning models that drive engagement, creativity, and efficiency within Canva's platform.

**Responsibilities:**

* Design, develop, and deploy machine learning models that enhance Canva's editing capabilities, leveraging computer vision, natural language processing, and deep learning techniques.
* Collaborate with product managers, data scientists, and software engineers to identify opportunities for AI-driven innovation and define project requirements.
* Develop and maintain large-scale machine learning models, ensuring high accuracy, scalability, and reliability.
* Conduct experiments, analyze results, and optimize model performance using various metrics and evaluation techniques.
* Implement and maintain data pipelines, ETL processes, and data warehousing solutions to support model development and deployment.
* Contribute to the development of Canva's AI infrastructure, including model serving, deployment, and monitoring tools.
* Mentor junior engineers, provide technical guidance, and evolve the team's technical capabilities.
* Participate in code reviews, ensuring adherence to coding standards, best practices, and Canva's engineering principles.

**Requirements:**

* **Experience:** 5+ years of experience in machine learning engineering, with a focus on deep learning and computer vision.
* **Education:** Bachelor's or Master's degree in Computer Science, Machine Learning, or a related field.

**Skills:**

* Strong proficiency in Python, TensorFlow, PyTorch, or similar deep learning frameworks.
* Experience with computer vision libraries such as OpenCV, PIL, or scikit-image.
* Knowledge of natural language processing techniques and libraries like NLTK, spaCy, or gensim.
* Expertise in machine learning model development, deployment, and monitoring.
* Familiarity with data processing frameworks like Apache Spark, Apache Flink, or Dask.
* Experience with containerization using Docker and orchestration using Kubernetes.
* Strong understanding of software development principles, design patterns, and testing methodologies.
* Excellent communication, collaboration, and problem-solving skills.

**Nice to Have:**

* Experience with cloud-based infrastructure, such as AWS or GCP.
* Knowledge of DevOps practices and tools like Jenkins, GitLab CI/CD, or CircleCI.
* Familiarity with agile development methodologies and version control systems like Git.
* Experience with data visualization tools like Matplotlib, Seaborn, or Plotly.

**What We Offer:**

* A competitive salary package and benefits
* A dynamic, supportive, and collaborative work environment
* Opportunities for professional growth and development
* Flexible working hours and remote work options
* Access to cutting-edge technologies and innovative projects
* A passionate and talented team of engineers, designers, and product managers

**How to Apply:**

If you're a skilled and passionate machine learning engineer looking to make a significant impact in the field of AI-powered editing, please submit your resume, cover letter, and any relevant project examples to [insert contact email or link]."
Senior Machine Learning Engineer - Style AI,Canva,https://www.canva.com,- ,"Sydney, New South Wales, Australia",https://www.linkedin.com/jobs/view/3781778836/?alternateChannel=search&refId=QWWvQJIXvVkEg4Yig1Us6w%3D%3D&trackingId=fFcTqDgHqFFi%2BuqBknCKMQ%3D%3D,Full-time,,4/21/2024,9,,"Here is a job description for a Senior Machine Learning Engineer at Canva:

**Job Title:** Senior Machine Learning Engineer - Style AI

**Company:** Canva

**Location:** Sydney, New South Wales, Australia

**Salary Range:** Competitive salary package (to be discussed)

**Job Type:** Full-time

**About Us:**
At Canva, we're on a mission to empower the world to design. As a Senior Machine Learning Engineer - Style AI, you'll play a critical role in shaping the future of design and artificial intelligence. Join our talented team of engineers, researchers, and designers to drive innovation and transform the way people create.

**Job Summary:**
We're seeking an exceptional Senior Machine Learning Engineer to lead the development of our Style AI platform, which uses machine learning to enhance the design experience for our users. As a senior member of the team, you'll be responsible for designing, developing, and deploying large-scale machine learning models that drive business value. Your expertise will help us push the boundaries of AI in design, enhancing the user experience, and driving business growth.

**Responsibilities:**

* Design, develop, and deploy large-scale machine learning models using Python, TensorFlow, or PyTorch
* Collaborate with cross-functional teams to identify and prioritize business problems that can be solved using machine learning
* Develop and maintain large-scale datasets for training and testing machine learning models
* Work closely with data scientists, engineers, and product managers to develop and deploy machine learning models that drive business value
* Stay up-to-date with the latest advancements in machine learning and deep learning, applying this knowledge to improve our products and services
* Mentor junior engineers and provide technical guidance to team members
* Participate in code reviews, ensuring high-quality, maintainable, and efficient code

**Requirements:**

* 5+ years of experience in machine learning engineering, with a focus on deep learning and computer vision
* Strong proficiency in Python, TensorFlow, or PyTorch, with experience in developing and deploying large-scale machine learning models
* Experience with computer vision, natural language processing, or recommender systems is a plus
* Strong understanding of software development principles, including design patterns, testing, and deployment
* Excellent problem-solving skills, with the ability to work independently and collaboratively as part of a team
* Strong communication skills, with the ability to effectively communicate technical concepts to non-technical stakeholders
* Bachelor's or Master's degree in Computer Science, Electrical Engineering, or a related field
* Experience with Agile development methodologies and version control systems such as Git

**Nice to Have:**

* Experience with cloud computing platforms such as AWS or GCP
* Familiarity with containerization using Docker
* Knowledge of DevOps practices and tools such as Kubernetes
* Experience with data visualization tools and data-storytelling techniques

**What We Offer:**

* Competitive salary package
* Opportunities for career growth and professional development
* Collaborative and dynamic work environment
* Access to the latest technologies and tools
* Flexible working hours and remote work options
* Unlimited annual leave and generous parental leave policies
* Wellness programs and benefits

If you're a talented machine learning engineer with a passion for driving innovation, we'd love to hear from you!"
Staff Machine Learning Engineer - Assistant,Canva,https://www.canva.com,- ,"Sydney, New South Wales, Australia",,Full-time,,4/21/2024,10,,"Here is a job description for the role:

**Job Title: Staff Machine Learning Engineer - Assistant**
**Company: Canva**
**Salary: Competitive**
**Location: Sydney, New South Wales, Australia**

**Job Summary:**

We're looking for an exceptional Staff Machine Learning Engineer - Assistant to join our team at Canva in Sydney. As a key member of our engineering team, you will play a critical role in developing and deploying scalable machine learning models that drive business growth and innovation. This is an exciting opportunity to work with a talented team of engineers and contribute to the development of cutting-edge technology.

**Responsibilities:**

* Design, develop, and deploy machine learning models that power Canva's products and features
* Collaborate with cross-functional teams to identify business problems and develop data-driven solutions
* Develop and maintain large-scale machine learning pipelines and architectures
* Work with large datasets to train and evaluate machine learning models
* Develop and maintain technical documentation for machine learning models and systems
* Participate in code reviews and contribute to the improvement of the engineering team's skills and knowledge
* Stay up-to-date with industry trends and advancements in machine learning and AI

**Requirements:**

* 5+ years of experience in machine learning engineering or a related field
* Strong expertise in machine learning algorithms, including supervised and unsupervised learning, deep learning, and natural language processing
* Proficiency in Python, TensorFlow, PyTorch, or other machine learning frameworks
* Experience with cloud-based machine learning platforms such as AWS SageMaker, Google Cloud AI Platform, or Azure Machine Learning
* Strong programming skills in Python, Java, or C++
* Experience with data preprocessing, feature engineering, and data visualization
* Excellent problem-solving skills, with the ability to debug complex technical issues
* Strong communication and collaboration skills, with experience working with cross-functional teams

**Nice to Have:**

* Experience with Canva's technology stack, including GraphQL, React, and TypeScript
* Knowledge of computer vision, reinforcement learning, or recommendation systems
* Experience with Kubernetes, Docker, and containerization
* Contributions to open-source machine learning projects or research papers

**What We Offer:**

* Competitive salary and benefits package
* Opportunity to work on cutting-edge technology and contribute to Canva's growth and innovation
* Collaborative and dynamic work environment with a talented team of engineers
* Professional development opportunities, including training and conference attendance
* Flexible working hours and remote work options
* Access to Canva's flagship product and other Canva products

If you're passionate about machine learning and want to join a team of innovators, we'd love to hear from you!"
Full Stack Engineer and/or Technical Co-Founder,golive,https://golive.com.au,-,Sydney or REMOTE,Email caleb@golive.com.au,Contractor,caleb@golive.com.au,4/21/2024,11,,"Here is a job description for a Full Stack Engineer and/or Technical Co-Founder at GoLive:

**Job Title:** Full Stack Engineer and/or Technical Co-Founder

**Company:** GoLive

**Location:** Sydney, Australia (or Remote)

**Salary:** Competitive salary package commensurate with experience

**Job Summary:**

We are seeking an exceptional Full Stack Engineer and/or Technical Co-Founder to join our innovative team at GoLive. As a key member of our founding team, you will play a critical role in shaping the technical direction of our company and developing our flagship product. If you're passionate about building scalable and maintainable software systems, and are excited about the prospect of being part of a fast-paced startup environment, we want to hear from you!

**Responsibilities:**

* Design, develop, and deploy high-quality, scalable, and maintainable software products
* Collaborate with cross-functional teams to identify and prioritize project requirements
* Develop and maintain technical roadmaps, architectures, and system designs
* Work closely with the founding team to drive technical strategy and direction
* Participate in code reviews and ensure adherence to best practices and coding standards
* Troubleshoot and resolve technical issues, and optimize system performance
* Mentor junior engineers and contribute to the growth of the engineering team

**Requirements:**

* 5+ years of experience in full-stack software development with a strong proficiency in one or more programming languages (e.g., JavaScript, Python, Ruby, Java)
* 3+ years of experience in a leadership or technical leadership role, with a proven track record of driving technical vision and strategy
* Strong understanding of front-end and back-end development, including HTML, CSS, JavaScript, and RESTful APIs
* Experience with cloud-based systems, containerization (e.g., Docker), and orchestration (e.g., Kubernetes)
* Familiarity with agile development methodologies and version control systems (e.g., Git)
* Strong problem-solving skills, with the ability to work independently and collaboratively
* Excellent communication and interpersonal skills, with the ability to communicate technical concepts to non-technical stakeholders
* Passion for innovation, entrepreneurship, and collaboration

**Nice to Have:**

* Experience with GoLive's specific technology stack (e.g., React, Node.js, MongoDB)
* Knowledge of DevOps practices and tools (e.g., CI/CD pipelines, monitoring and logging)
* Experience with technical writing and documentation
* Familiarity with startup environments and the ability to thrive in fast-paced, dynamic settings

**What We Offer:**

* Competitive salary package commensurate with experience
* Equity opportunities as a founding team member
* Flexible working arrangements, including remote work options
* Access to cutting-edge technologies and training opportunities
* Collaborative and dynamic work environment
* Recognition and rewards for outstanding performance

If you're a passionate and driven engineer looking to make a meaningful impact, please apply with your resume, cover letter, and any relevant project examples. We can't wait to hear from you!"
Head of AI + GenAI,Major Retailer,,190k to 200k+,Sydney,,Full-time,vincentkoc@ieee.org,4/21/2024,12,,"Here is a job description for the role:

**Job Title: Head of AI + GenAI**

**Company: Major Retailer**

**Salary Range: $190,000 - $200,000+**

**Location: Sydney, Australia**

**About Us:**

As a leading retailer, we are committed to delivering exceptional customer experiences through innovative technology and data-driven insights. We are seeking an exceptional leader to drive our Artificial Intelligence (AI) and Generative AI (GenAI) strategies to propel our business forward.

**Job Summary:**

We are looking for a visionary Head of AI + GenAI to lead our AI and GenAI teams, responsible for developing and implementing cutting-edge AI and GenAI solutions that drive business growth, improve operational efficiency, and enhance customer experiences. The successful candidate will be a strategic thinker, technical expert, and collaborative leader who can inspire and motivate high-performing teams to achieve exceptional results.

**Responsibilities:**

* Develop and execute a comprehensive AI and GenAI strategy aligned with the company's overall business objectives
* Lead and manage a team of AI and GenAI engineers, researchers, and data scientists to develop and deploy AI and GenAI solutions that drive business outcomes
* Collaborate with cross-functional teams to identify opportunities for AI and GenAI applications that improve customer experiences, optimize operations, and drive revenue growth
* Stay up-to-date with the latest developments in AI and GenAI, and identify opportunities to leverage emerging technologies to drive innovation and competitiveness
* Develop and manage budgets, resources, and vendor relationships to support AI and GenAI initiatives
* Communicate AI and GenAI strategies, plans, and results to executive leadership and other stakeholders

**Requirements:**

* 10+ years of experience in AI, machine learning, or related fields, with a minimum of 5 years in a leadership role
* Strong technical expertise in AI, machine learning, and GenAI, with a deep understanding of machine learning frameworks, neural networks, and deep learning
* Proven track record of developing and executing AI and GenAI strategies that drive business outcomes
* Excellent leadership and management skills, with experience leading high-performing teams of AI and GenAI engineers, researchers, and data scientists
* Strong communication and interpersonal skills, with the ability to collaborate with cross-functional teams and communicate complex technical concepts to non-technical stakeholders
* Bachelor's or Master's degree in Computer Science, Electrical Engineering, or a related field

**Desirable Skills:**

* Experience with cloud-based AI and GenAI platforms (e.g. Azure, AWS, Google Cloud)
* Knowledge of computer vision, natural language processing, or other AI subfields
* Experience with agile project management methodologies
* Certification in AI, machine learning, or related fields (e.g. Certified Data Scientist, Certified AI Engineer)

If you are a visionary leader with a passion for AI and GenAI, and a track record of driving business outcomes through innovative technology solutions, we would love to hear from you!"
Tech Lead / Senior Software Engineer - ML - offshore,Deeligence,https://www.deeligence.com/,-,Remote,https://docsend.com/view/6k3cd97pamcf83s4,Full-time,justin@deeligence.com,4/21/2024,13,,"Here is a job description for the role:

**Job Title:** Tech Lead / Senior Software Engineer - ML (Offshore)

**Company:** Deeligence

**Location:** Remote

**Salary Range:** Competitive salary package (Negotiable)

**Job Summary:**

We are seeking an experienced Tech Lead / Senior Software Engineer with expertise in Machine Learning to join our team at Deeligence. As a Tech Lead / Senior Software Engineer, you will lead the development and implementation of complex machine learning models, and oversee a team of engineers to drive innovation and growth. This is a remote opportunity, offering the flexibility to work from anywhere.

**Responsibilities:**

* Lead the design, development, and deployment of machine learning models and algorithms to solve complex business problems
* Collaborate with cross-functional teams to integrate machine learning models into larger systems and applications
* Oversee a team of engineers, providing technical guidance and mentorship to ensure high-quality deliverables
* Stay up-to-date with industry trends and advancements in machine learning, and apply this knowledge to improve Deeligence's products and services
* Communicate complex technical concepts to non-technical stakeholders, and develop technical documentation and reports
* Collaborate with product owners to define project requirements and ensure technical feasibility

**Requirements:**

* 8+ years of experience in software development, with a focus on machine learning
* 3+ years of experience in a technical leadership role, leading teams of engineers
* Strong expertise in machine learning frameworks and tools, such as TensorFlow, PyTorch, or Scikit-Learn
* Proficiency in programming languages, including Python, Java, or C++
* Experience with cloud-based technologies, such as AWS or GCP
* Excellent communication and leadership skills, with the ability to mentor and guide junior engineers
* Strong problem-solving skills, with the ability to break down complex problems into manageable components
* Bachelor's or Master's degree in Computer Science, Engineering, or a related field

**Nice to Have:**

* Experience with containerization using Docker, and orchestration using Kubernetes
* Knowledge of agile development methodologies, such as Scrum or Kanban
* Experience with DevOps practices, including continuous integration and continuous deployment
* Certification in machine learning or related fields, such as AWS Certified Machine Learning - Specialty

**What We Offer:**

* Competitive salary package
* Opportunities for career growth and professional development
* Collaborative and dynamic work environment
* Flexible remote work arrangements
* Access to cutting-edge technologies and tools
* Recognition and rewards for outstanding performance"
Data Engineer,ShopGrok,https://shopgrok.com/,-,"Sydney, NSW",https://www.linkedin.com/posts/aaron-j-cowper_hiring-jobs-startup-activity-7172832175644422145-kxOd/,Full-time,michael@glowpay.co,4/21/2024,14,,"Here is a job description for the role:

**Job Title:** Data Engineer
**Company:** ShopGrok
**Location:** Sydney, NSW
**Salary Range:** Competitive (dependent on experience)

**Job Summary:**

We are seeking a skilled Data Engineer to join our team at ShopGrok, a leading e-commerce company in Sydney, NSW. As a Data Engineer, you will be responsible for designing, building, and maintaining the infrastructure that stores, processes, and retrieves large datasets. You will work closely with our data science and analytics teams to ensure seamless data flow and insights to drive business growth.

**Responsibilities:**

* Design, develop, and maintain large-scale data pipelines and architectures
* Implement and optimize data processing, storage, and retrieval systems
* Work with cross-functional teams to integrate data systems with business applications
* Develop and maintain ETL (Extract, Transform, Load) processes to ensure data quality and integrity
* Collaborate with data scientists and analysts to identify and prioritize data requirements
* Monitor and troubleshoot data pipelines and systems to ensure high availability and performance
* Implement data security and access controls to ensure compliance with organizational standards
* Stay up-to-date with emerging trends and technologies in data engineering and recommend improvements

**Requirements:**

* 3+ years of experience in data engineering, software development, or a related field
* Strong proficiency in programming languages such as Python, Java, or Scala
* Experience with data processing technologies such as Apache Spark, Hadoop, or Flink
* Knowledge of data storage solutions such as relational databases, NoSQL databases, or data warehouses
* Familiarity with cloud computing platforms such as AWS, Azure, or GCP
* Excellent problem-solving skills, with the ability to debug complex issues
* Strong communication and collaboration skills, with the ability to work with cross-functional teams
* Bachelor's degree in Computer Science, Engineering, or a related field

**Nice to Have:**

* Experience with containerization using Docker and orchestration using Kubernetes
* Knowledge of data governance and data quality best practices
* Familiarity with Agile development methodologies and version control systems such as Git

If you are a motivated and experienced Data Engineer looking to join a dynamic team, please submit your application to ShopGrok today!"
