Role,Company,Company URL,Salary,Location,Application Link,Type,Email,Date Created,idx,job_description
Software Engineer,Mary Technology,https://www.marytechnology.com/,$100K - $180K (on experience/level),"Sydney, NSW; REMOTE.",Please e-mail or Slack message Daniel Lord-Doyle.,,dan@marytechnology.com,4/21/2024,5,
Machine Learning Engineer,H2O.ai,https://www.linkedin.com/company/h2oai?trk=public_jobs_topcard-org-name,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/machine-learning-engineer-at-h2o-ai-3787732675?trk=public_jobs_topcard-title,Full-time,,4/21/2024,6,
Senior Machine Learning Engineer,Neara,https://au.linkedin.com/company/neara?trk=public_jobs_topcard-org-name,-,"Sydney, New South Wales, Australia",https://au.linkedin.com/jobs/view/senior-machine-learning-engineer-at-neara-3749865976?trk=public_jobs_topcard-title,Full-time,,4/21/2024,7,
Senior Machine Learning Engineer - Editing AI,Canva,https://www.canva.com,"- ","Sydney, New South Wales, Australia",https://www.linkedin.com/jobs/view/3765111184/?alternateChannel=search&refId=nOj7CaKdW1eiFtr3NWNbZQ%3D%3D&trackingId=5zHmw%2FO4be6a7ID6cGnLKA%3D%3D,Full-time,,4/21/2024,8,
Senior Machine Learning Engineer - Style AI,Canva,https://www.canva.com,"- ","Sydney, New South Wales, Australia",https://www.linkedin.com/jobs/view/3781778836/?alternateChannel=search&refId=QWWvQJIXvVkEg4Yig1Us6w%3D%3D&trackingId=fFcTqDgHqFFi%2BuqBknCKMQ%3D%3D,Full-time,,4/21/2024,9,
Staff Machine Learning Engineer - Assistant,Canva,https://www.canva.com,"- ","Sydney, New South Wales, Australia",,Full-time,,4/21/2024,10,
Full Stack Engineer and/or Technical Co-Founder,golive,https://golive.com.au,-,Sydney or REMOTE,Email caleb@golive.com.au,Contractor,caleb@golive.com.au,4/21/2024,11,
Head of AI + GenAI,Major Retailer,,190k to 200k+,Sydney,,Full-time,vincentkoc@ieee.org,4/21/2024,12,
Tech Lead / Senior Software Engineer - ML - offshore,Deeligence,https://www.deeligence.com/,-,Remote,https://docsend.com/view/6k3cd97pamcf83s4,Full-time,justin@deeligence.com,4/21/2024,13,
Data Engineer,ShopGrok,https://shopgrok.com/,-,"Sydney, NSW",https://www.linkedin.com/posts/aaron-j-cowper_hiring-jobs-startup-activity-7172832175644422145-kxOd/,Full-time,michael@glowpay.co,4/21/2024,14,
"Machine Learning
  (ML) Engineer",Unison Consulting,https://www.linkedin.com/company/unison-consulting-pte-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,-,"Millers Point, New South Wales, Australia",https://au.linkedin.com/jobs/view/machine-learning-ml-engineer-at-unison-consulting-3891664212?position=1&pageNum=0&refId=7GU7f9sCpHTjnzpMBSYqhA%3D%3D&trackingId=HTHshqihkS2ci587cO6WAA%3D%3D&trk=public_jobs_jserp-result_search-card,Full-time,,4/21/2024,15,
